"№ п/п","Прізвище, ім'я та по-батькові депутата","Результатголосування"
2,Бабич Петро Іванович,За
4,Лемпіцький Валерій Анатолійович,За
6,Тоцька Тетяна Петрівна,За
8,Темченко Людмила Григорівна,За
10,Скотніков Юрій Анатолійович,За
12,Крилова Тетяна Миколаївна,За
14,Бойко Сергій Олександрович,Утримався
16,Здоровець Олексій Михайлович,Не голосував
18,Коваленко Вікторія Миколаївна,За
20,Гредунов Євгеній Валерійович,За
22,"Черепейнік Леонід Володимирович",За
24,Опалько Володимир Григорович,За
26,Бельський Сергій Костянтинович,За
28,Тютюнник Андрій Анатолійович,За
30,Дудко Борис Володимирович,За
32,Іллюхін Сергій Миколайович,Не голосував
34,Берестовий Олег Ігорович,Утримався
36,Саук Андрій Миколайович,Не голосував
"","",""


